Sentiment,Top_30_Retweet,Retweet_Count
,,
positive,RT @ddlovato: CECE!!!!  so fun today.. #warriors be ready for Wednesday night!!! http://t.co/AJIw2a7y,18567
,,
positive,RT @ddlovato: Look at my Momma Warrior!!!!! @DiannaDeLaGarza @CeCeMissXtotheO #TeamCeCe #warriors http://t.co/2MTD6tKz,11465
,,
neutral,"RT @LeBronJames: #NBAFinals2015 

RT for #Cleveland 
FAV for #Warriors http://t.co/26qSkbv1sG",4048
,,
neutral,"RT @LeBronJames: #NBAFinals2015 

RT for #Cleveland 
FAV for #Warriors http://t.co/26qSkbv1sG",4048
,,
neutral,"RT @LeBronJames: #NBAFinals2015 

RT for #Cleveland 
FAV for #Warriors http://t.co/26qSkbv1sG",4048
,,
neutral,"RT @LeBronJames: #NBAFinals2015 

RT for #Cleveland 
FAV for #Warriors http://t.co/26qSkbv1sG",4048
,,
neutral,"RT @LeBronJames: #NBAFinals2015 

RT for #Cleveland 
FAV for #Warriors http://t.co/26qSkbv1sG",4048
,,
neutral,"RT @LeBronJames: #NBAFinals2015 

RT for #Cleveland 
FAV for #Warriors http://t.co/26qSkbv1sG",4048
,,
neutral,"RT @LeBronJames: #NBAFinals2015 

RT for #Cleveland 
FAV for #Warriors http://t.co/26qSkbv1sG",4048
,,
neutral,"RT @LeBronJames: #NBAFinals2015 

RT for #Cleveland 
FAV for #Warriors http://t.co/26qSkbv1sG",4048
,,
neutral,"RT @LeBronJames: #NBAFinals2015 

RT for #Cleveland 
FAV for #Warriors http://t.co/26qSkbv1sG",4048
,,
neutral,"RT @LeBronJames: #NBAFinals2015 

RT for #Cleveland 
FAV for #Warriors http://t.co/26qSkbv1sG",4048
,,
neutral,"RT @LeBronJames: #NBAFinals2015 

RT for #Cleveland 
FAV for #Warriors http://t.co/26qSkbv1sG",4048
,,
neutral,"RT @LeBronJames: #NBAFinals2015 

RT for #Cleveland 
FAV for #Warriors http://t.co/26qSkbv1sG",4048
,,
neutral,"RT @LeBronJames: #NBAFinals2015 

RT for #Cleveland 
FAV for #Warriors http://t.co/26qSkbv1sG",4048
,,
neutral,"RT @LeBronJames: #NBAFinals2015 

RT for #Cleveland 
FAV for #Warriors http://t.co/26qSkbv1sG",4048
,,
neutral,"RT @LeBronJames: #NBAFinals2015 

RT for #Cleveland 
FAV for #Warriors http://t.co/26qSkbv1sG",4048
,,
neutral,"RT @LeBronJames: #NBAFinals2015 

RT for #Cleveland 
FAV for #Warriors http://t.co/26qSkbv1sG",4048
,,
neutral,"RT @LeBronJames: #NBAFinals2015 

RT for #Cleveland 
FAV for #Warriors http://t.co/26qSkbv1sG",4048
,,
neutral,"RT @LeBronJames: #NBAFinals2015 

RT for #Cleveland 
FAV for #Warriors http://t.co/26qSkbv1sG",4048
,,
neutral,"RT @LeBronJames: #NBAFinals2015 

RT for #Cleveland 
FAV for #Warriors http://t.co/26qSkbv1sG",4048
,,
neutral,"RT @LeBronJames: #NBAFinals2015 

RT for #Cleveland 
FAV for #Warriors http://t.co/26qSkbv1sG",4048
,,
positive,RT @warriors: #Warriors hit 6 treys in first half and take a 12-point lead into the half. #NBAFinals #DubNation #StrengthInNumbers http://t,2358
,,
positive,RT @warriors: #Warriors hit 6 treys in first half and take a 12-point lead into the half. #NBAFinals #DubNation #StrengthInNumbers http://t,2358
,,
positive,RT @warriors: #Warriors hit 6 treys in first half and take a 12-point lead into the half. #NBAFinals #DubNation #StrengthInNumbers http://t,2358
,,
positive,RT @warriors: #Warriors hit 6 treys in first half and take a 12-point lead into the half. #NBAFinals #DubNation #StrengthInNumbers http://t,2358
,,
positive,RT @warriors: #Warriors hit 6 treys in first half and take a 12-point lead into the half. #NBAFinals #DubNation #StrengthInNumbers http://t,2358
,,
positive,RT @warriors: #Warriors hit 6 treys in first half and take a 12-point lead into the half. #NBAFinals #DubNation #StrengthInNumbers http://t,2358
,,
positive,RT @warriors: #Warriors hit 6 treys in first half and take a 12-point lead into the half. #NBAFinals #DubNation #StrengthInNumbers http://t,2358
,,
positive,RT @warriors: #Warriors hit 6 treys in first half and take a 12-point lead into the half. #NBAFinals #DubNation #StrengthInNumbers http://t,2358
